繁體	简体	吳拼	備注
謀	谋	meu2	
予	予	meu2	
茂	茂	meu6	
貿	贸	meu6	
負	负	veu2	
阜	阜	veu2	
浮	浮	veu2	文
投	投	deu2	
頭	头	deu2	
逗	逗	deu6	
豆	豆	deu6	
樓	楼	leu2	
摟	搂	leu2	
耬	耧	leu2	
簍	篓	leu2	
漏	漏	leu6	
陋	陋	leu6	
瘰	瘰	leu6	
驟	骤	dzeu6	
愁	愁	zeu2	
驟	骤	zeu6	
跔	跔	geu2	〜拢
藕	藕	ngeu2	
偶	偶	ngeu2	配〜
牛	牛	ngeu2	
紐	纽	ngeu2	
偶	偶	ngeu6	〜然
侯	侯	gheu2	
喉	喉	gheu2	
猴	猴	gheu2	
瘊	瘊	gheu2	
后	后	gheu2	
後	后	gheu2	
厚	厚	gheu2	
候	候	gheu6	
浜	浜	pan1	
綁	绑	pan3	
迸	迸	pan5	〜裂
☐	☐	pan5	阿〜
弸	弸	pan5	
烹	烹	phan1	
☐	☐	phan3	打〜。用饵诱鱼。
碰	碰	phan5	硬〜硬
打	打	tan3	
鐺	铛	than1	〜锣
☐	☐	than5	〜箩
爭	争	tsan1	
棦	棦	tsan3	树〜
撐	撑	tshan1	
生	生	san1	
牲	牲	san1	
甥	甥	san1	
省	省	san3	〜长,节〜
更	更	kan1	
梗	梗	kan1	
庚	庚	kan1	
羹	羹	kan1	
餗	𫗧	kan1	〜来〜去
耕	耕	kan1	
餗	𫗧	kan5	出来
坑	坑	khan1	
𢳧	𢳧	khan5	〜过去
亨	亨	han1	
夯	夯	han5	
☐	☐	han5	〜过去
㹙	㹙	an3	小牛
掽	掽	ban2	碰着
朋	朋	ban2	
彭	彭	ban2	
膨	膨	ban2	
棚	棚	ban2	
蚌	蚌	ban2	
猛	猛	man2	
盂	盂	man6	
冷	冷	lan2	
橙	橙	dzan2	〜子
鋥	锃	dzan6	〜亮
䂻	䂻	dzan6	塞
哽	哽	gan2	〜住
硬	硬	ngan6	
行	行	ghan2	〜为
杏	杏	ghan2	
幫	帮	paon1	
鎊	镑	paon1	
邦	邦	paon1	
榜	榜	paon3	
綁	绑	paon3	
謗	谤	paon5	
胖	胖	phaon5	
方	方	faon1	
肪	肪	faon1	
芳	芳	faon1	
妨	妨	faon1	
紡	纺	faon3	
仿	仿	faon3	
彷	彷	faon3	
放	放	faon5	
訪	访	faon5	
當	当	taon1	〜时
黨	党	taon3	
檔	档	taon3	
當	当	taon5	典〜
湯	汤	thaon1	
倘	倘	thaon3	
躺	躺	thaon3	
燙	烫	thaon5	
趟	趟	thaon5	
髒	脏	tsaon1	
莊	庄	tsaon1	
裝	装	tsaon1	
章	章	tsaon1	
樟	樟	tsaon1	
蟑	蟑	tsaon1	
掌	掌	tsaon3	
葬	葬	tsaon5	
障	障	tsaon5	
瘴	瘴	tsaon5	
壯	壮	tsaon5	
倉	仓	tshaon1	
蒼	苍	tshaon1	
瘡	疮	tshaon1	
闖	闯	tshaon1	
昌	昌	tshaon1	
菖	菖	tshaon1	
窗	窗	tshaon1	
闖	闯	tshaon3	
唱	唱	tshaon5	
倡	倡	tshaon5	
創	创	tshaon5	
暢	畅	tshaon5	
桑	桑	saon1	
喪	丧	saon1	
磉	磉	saon1	
嗓	嗓	saon1	
搡	搡	saon1	
霜	霜	saon1	
孀	孀	saon1	
商	商	saon1	
傷	伤	saon1	
雙	双	saon1	
磉	磉	saon3	
爽	爽	saon3	
喪	丧	saon5	〜失
岡	冈	kaon1	
崗	岗	kaon1	
剛	刚	kaon1	
